Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Байда,Алевтин,Романович,Чоловіча,1986-12-21,Громадський діяч,хутір Сулимівка (Слов'янськ),"сквер Дунайська, буд. 409 кв. 94, Люботин, 82236",141-56-34,skyrdaievhen@example.net
Бабко,Едита,Богданівна,Жіноча,2005-08-09,Професор,селище Сколе,"узвіз Біляївська, буд. 1, Бердянськ, 81355",048-62-86,verhunspas@example.org
Чарниш,Вікторія,Ярославівна,Жіноча,1950-08-13,Астроном,місто Чуднів,"набережна Нескучна, буд. 00 кв. 81, Новояворівськ, 50225",+380 (55) 955-95-77,bhaievska@example.net
Тесля,Адам,Вікторович,Чоловіча,1980-05-23,Дипломат,селище Великі Мости,"набережна Щоголєва, буд. 80, Херсон, 66817",+380 (52) 725-01-07,ivandemianiuk@example.org
Піддубний,Альбіна,Дмитрівна,Жіноча,1960-06-06,Складальник,селище Буча,"провулок Палія Семена, буд. 11, Нововолинськ, 60237",+380 (04) 147-44-40,kostiantyn10@example.org
Ребрик,Дарина,Іванівна,Жіноча,1982-01-28,Доцент,місто Сколе,"шосе Центральний аеропорт, буд. 553 кв. 376, Герца, 92395",+380 (61) 290-92-55,eduard90@example.com
Чорновіл,Гліб,Вікторович,Чоловіча,1966-03-24,Футболіст,хутір Київ,"сквер Відважних, буд. 05, Житомир, 63219",096 619 15 96,ostaplavrenko@example.com
Гавриленко,Богодар,Дмитрович,Чоловіча,1946-03-17,Піаніст,село Яворів,"вулиця Кощового отамана, буд. 83, Роздільна, 44661",775-32-54,shabliibohuslav@example.org
Тичина,Демид,Сергійович,Чоловіча,1968-10-05,Медик,хутір Винники,"набережна Об'їзна дорога, буд. 2, Південне , 21126",079 477-91-09,iukhym11@example.com
Швачка,Роксолана,Дмитрівна,Жіноча,1953-02-05,Намотувальник,хутір Підгородне,"провулок Леха Качинського, буд. 52 кв. 094, Сокаль, 41135",+380 (51) 529-07-50,handreiko@example.com
Луценко,Клавдія,Вікторівна,Жіноча,1964-05-23,Археолог,місто Сміла,"проспект Марата, буд. 90 кв. 5, Старокостянтинів, 22168",+380 91 680 32 67,volodymyra89@example.org
Сіробаба,Володимир,Іванович,Чоловіча,1954-07-15,Продюсер,село Попасна,"провулок Садова 2-га, буд. 63 кв. 11, Хмільник, 65590",765-44-02,eduplii@example.org
Туркало,Надія,Богданівна,Жіноча,1977-07-20,Математик,селище Горлівка,"шосе Удільний, буд. 1 кв. 82, Арциз, 38951",062 181-23-00,marko33@example.org
Колодуб,Людмила,Юріївна,Жіноча,1971-10-13,Реабілітолог,місто Жашків,"парк Спаський, буд. 09, Новодружеськ, 84301",+380 38 788 23 81,viktoriiaandrusenko@example.com
Юхименко,Віталій,Петрович,Чоловіча,1954-05-11,Швачка,хутір Нікополь,"шосе Республіканська, буд. 325, Гадяч, 78487",+380 61 681-43-49,zvashchuk@example.org
Демиденко,Левко,Богданович,Чоловіча,2000-09-22,Електрик,хутір Заліщики,"парк Магнітогорський, буд. 19, Першотравенськ, 35367",+380 89 197 67 88,emiliia42@example.org
Мазур,Георгій,Леонідович,Чоловіча,2002-12-07,Кіноактор,село Горохів,"шосе Михайла Жванецького, буд. 67 кв. 3, Сімферополь, 93540",+380 81 786-77-46,iaremchukkhoma@example.org
Щербак,Дарина,Федорівна,Жіноча,1985-09-08,Дерун,селище Камінь-Каширський,"узвіз Східчастий 3-й, буд. 66, Бобровиця, 59165",847 27 52,perepelytsiadanylo@example.com
Терещук,Зиновій,Олександрович,Чоловіча,1994-02-14,Скульптор,місто Бровари,"узвіз Сінна, буд. 85 кв. 440, Курахове, 96744",+380 59 564 24 38,vyshyvanaihnat@example.com
Данильчук,Болеслав,Богданович,Чоловіча,1938-11-21,Провізор,селище Самбір,"вулиця Садовий, буд. 0, Тисмениця, 91960",+380 96 510-92-01,spasvlokh@example.org
Фастенко,Маруся,Павлівна,Жіноча,1939-12-20,Фізик,селище Винники,"парк Гоголя, буд. 85, Глухів, 69432",+380 64 930-93-23,mariiadrobakha@example.com
Карась,Тереза,Володимирівна,Жіноча,1979-12-07,Співак,село Красноперекопськ,"сквер Кедровий, буд. 21, Сновськ, 44210",904 02 58,zbevz@example.org
Царенко,Соломон,Євгенович,Чоловіча,1939-08-11,Складальник,місто Білозерське,"набережна Івана Франка, буд. 418 кв. 137, Заліщики, 32067",+380 (52) 322-61-38,baturynetsmaksym@example.net
Данько,Спас,Петрович,Чоловіча,1945-09-04,Публіцист,селище Подільськ,"парк Дунаєвського 2-й, буд. 469, Кальміуське, 79476",053 600-96-26,sdubyna@example.net
Баштан,Антон,Сергійович,Чоловіча,1958-06-30,Біолог,хутір Бурштин ,"шосе Лінія 38-ма, буд. 0, Судак , 57515",+380 65 809-16-63,bashpolchenkoiakiv@example.net
Петренко,Маруся,Василівна,Жіноча,1962-02-21,Дантист,хутір Корюківка,"провулок Улітіна, буд. 28 кв. 2, Баштанка, 83659",053 572 83 67,makarhaidenko@example.org
Рябовіл,Веніямин,Петрович,Чоловіча,1993-07-31,Архітектор,селище Рава-Руська,"набережна Балківська, буд. 595 кв. 13, Шпола, 39673",+380 (77) 046-81-05,kdemydenko@example.org
Сірченко,Едуард,Юрійович,Чоловіча,2000-08-18,Астроном,селище Іллінці,"парк Садова 6-та, буд. 95 кв. 73, Дебальцеве, 83926",003 931 20 57,edemianenko@example.com
Чміль,Наталія,Богданівна,Жіноча,1962-05-02,Петрограф,місто Добропілля,"вулиця Крайня, буд. 43, Вараш, 87098",039 855 80 38,iukhymenkoedyta@example.org
Базавлученко,Мартин,Дмитрович,Чоловіча,1962-10-14,Етнограф,село Хорол ,"шосе 1-ша Лінія 6-й ст. Люстдорфської дороги, буд. 522 кв. 9, Гребінка, 64842",+380 23 172-59-56,boryslav74@example.net
Рубець,Борислав,Леонідович,Чоловіча,1976-02-10,Будник,хутір Дунаївці,"сквер 7-ма Лінія 6-й ст. Люстдорфської дороги, буд. 8, Біляївка, 96612",019 996 64 96,khorishkomartyn@example.org
Радченко,Леопольд,Андрійович,Чоловіча,1956-09-07,Живописець,хутір Південне ,"шосе Архітекторська, буд. 832 кв. 83, Сміла, 98213",+380 22 246-01-53,leopold72@example.net
Михайличенко,Христина,Дмитрівна,Жіноча,1996-03-09,Педагог,місто Стебник,"узвіз Дача Ковалевського, буд. 5, Заліщики, 88047",012 482-04-18,ydrobiazko@example.com
Жученко,Олесь,Петрович,Чоловіча,1942-05-04,Етнограф,хутір Боково-Хрустальне,"вулиця Отрада, буд. 0, Дніпрорудне, 67758",099 036 10 43,epetrenko@example.org
Ковалюк,Альберт,Іванович,Чоловіча,1961-12-27,Модельєр,селище Рахів,"вулиця Лазурний 2-й, буд. 438, Перемишляни, 89862",193-68-50,leopoldriabchenko@example.com
Баран,Ярема,Павлович,Чоловіча,1982-10-29,Мікробіолог,селище Підгородне,"шосе Нова, буд. 109, Камінь-Каширський, 45814",+380 (76) 669-42-99,pylyp69@example.net
Яремків,Онисим,Павлович,Чоловіча,1990-01-08,Пекар,місто Великі Мости,"вулиця Кипарисний 1-й, буд. 217, Кодима, 92685",+380 84 744 62 36,pavlo94@example.net
Батуринець,Богуслава,Олександрівна,Жіноча,1975-08-07,Дизайнер,місто Яремче,"вулиця Єліна, буд. 4 кв. 61, Глухів, 12780",095 677 15 13,huzenkoomelian@example.org
Єрьоменко,Зорян,Романович,Чоловіча,1991-02-28,Локсмайстер,село Армянськ,"сквер Рощева, буд. 5 кв. 6, Благовіщенське, 37069",074 967 66 08,levkobabych@example.org
Ґерета,Юхим,Дмитрович,Чоловіча,1952-01-26,Правник,село Генічеськ,"парк Льва Толстого, буд. 9 кв. 66, Апостолове, 84707",012 026 98 51,odarka03@example.net
Ващенко-Захарченко,Богданна,Ярославівна,Жіноча,1984-03-06,Головний меркшейдер,село Корсунь-Шевченківський,"шосе Іцхака Рабіна, буд. 433, Конотоп, 14197",+380 73 617-78-18,hshutko@example.net
Данько,Руслан,Іванович,Чоловіча,2000-06-25,Живописець,хутір Богодухів,"сквер Сільськогосподарський, буд. 13, Жовква, 03827",+380 94 734-38-86,trokhymbabych@example.net
Гоголь-Яновський,Владислав,Федорович,Чоловіча,1970-12-26,Кур'єр,хутір Чорноморськ,"вулиця Єлісаветинська, буд. 223 кв. 12, Заставна, 69180",529-60-80,bohuslavazhuravel@example.com
Авраменко,Орина,Дмитрівна,Жіноча,1983-09-12,Мистецтвознавець,хутір Овруч,"узвіз Амундсена, 2-й, буд. 6, Жашків, 78172",035 364-72-03,marko93@example.net
Дуплій,Альбіна,Петрівна,Жіноча,1940-05-20,Письменник,місто Теребовля,"узвіз Красива, буд. 13 кв. 8, Полтава, 82869",+380 34 792 60 91,oiurchuk@example.org
Гавришкевич,Олекса,Іванович,Чоловіча,2000-05-10,Астроном,селище Чортків,"парк Складська, буд. 5, Краматорськ, 25761",+380 39 463-68-61,nosenkosofiia@example.org
Вдовенко,Мирон,Сергійович,Чоловіча,1945-03-31,Сантехнік,хутір Косів,"провулок Шкіперська, буд. 089 кв. 74, Борщів, 94614",951-54-85,ielysavetahaivoronska@example.org
Дейнеко,Єфрем,Федорович,Чоловіча,1980-01-14,Драматург,селище Молодогвардійськ,"набережна Водопровідний 2-й, буд. 2, Старий Крим, 36015",573 78 19,heorhiidanko@example.org
Бевзенко,Арсен,Віталійович,Чоловіча,1970-05-17,Зоолог,хутір Шахтарськ,"проспект Тульська, буд. 476 кв. 1, Підгородне, 12913",+380 17 942-74-92,tykhaorest@example.com
Дрозд,Галина,Юріївна,Жіноча,1953-12-30,Фольклорист,місто Тернівка ,"парк Кустанайська, буд. 4 кв. 5, Чугуїв, 40248",+380 92 819-37-59,tytarenkomartyn@example.org
Скорик,Максим,Андрійович,Чоловіча,2000-02-01,Вчитель,село Стрий,"набережна Онілової, буд. 7 кв. 5, Бердичів, 49373",028 566 74 69,anitatsybulenko@example.com
Дараган,Лариса,Іванівна,Жіноча,1980-01-06,Журналіст,хутір Жашків,"проспект Керченський 2-й, буд. 365 кв. 042, П'ятихатки, 74280",+380 03 273-36-72,shtepalarysa@example.com
Аверченко,Лариса,Віталіївна,Жіноча,1978-05-08,Агроном,селище Луганськ,"узвіз Квіткова, буд. 50 кв. 180, Гребінка, 69769",+380 70 747-43-00,kovaliukmaksym@example.org
Василашко,Оксана,Сергіївна,Жіноча,1965-11-30,Електрослюсар,хутір Первомайськ,"провулок Ремонтна, буд. 76 кв. 84, Миргород, 04908",+380 (50) 408-49-22,tivashchenko@example.org
Іваненко,Богданна,Юріївна,Жіноча,1945-02-10,Візажист,місто Татарбунари,"шосе Крайня, буд. 4 кв. 9, Середина-Буда, 41888",995-11-76,nazar76@example.com
Онуфрієнко,Давид,Миколайович,Чоловіча,1997-08-17,Флорист,хутір Залізне,"набережна Малиновський, буд. 03, Антрацит , 24359",+380 (48) 031-20-86,boryslavsimashkevych@example.net
Фесенко,Алевтин,Сергійович,Чоловіча,1989-04-17,Фізик,хутір Буськ,"парк Госпітальний, буд. 9, Чуднів, 78735",040 533-08-97,erubets@example.net
Ярош,Адам,Федорович,Чоловіча,1959-11-24,Шериф,село Вилкове,"провулок Західний 2-й, буд. 6 кв. 83, Кобеляки, 37540",036 193 79 79,demianenkoleonid@example.org
Бевз,Валентина,Федорівна,Жіноча,1990-05-12,Археолог,село Саки ,"узвіз Скляний 3-й, буд. 2, Барвінкове, 28454",+380 50 315-35-68,fedir50@example.com
Цимбал,Данна,Андріївна,Жіноча,1969-10-07,Агроном,село Золотоноша,"провулок Скляний 2-й, буд. 9 кв. 900, Помічна, 43076",091 295-75-61,fartushniakorest@example.com
Колесниченко,Едита,Петрівна,Жіноча,2001-04-05,Водій,село Тростянець,"сквер Скляний 2-й, буд. 2 кв. 9, Біла Церква, 39292",099 183-74-80,revaheorhii@example.com
Вітрук,Алла,Ярославівна,Жіноча,1986-12-30,Гірник,місто Нетішин,"вулиця Ялинковий, буд. 5, Бобровиця, 82776",334-35-11,khavryliv@example.com
Охримович,Михайло,Богданович,Чоловіча,1987-06-01,Бібліотекар,місто Чернігів,"площа Старорізнична, буд. 6, Гайсин, 72686",013 393-77-24,rshchyrytsia@example.com
Іващенко,Тарас,Віталійович,Чоловіча,1969-01-05,Мінералог,селище Калуш,"сквер Олексіївська, буд. 830, Лозова , 41531",776-83-37,olha17@example.org
Ковпак,Єлисей,Володимирович,Чоловіча,1983-09-27,Водій,селище Хуст,"набережна Докова, буд. 607 кв. 778, Берегове, 62756",076 629-83-35,vladyslav80@example.com
Девдюк,Орися,Андріївна,Жіноча,1960-08-02,Візажист,село Кобеляки,"шосе Кавказький, буд. 786 кв. 1, Вознесенівка, 56925",+380 56 199-34-37,zinchukiustyna@example.com
Євтушенко,Кирило,Євгенович,Чоловіча,1961-11-19,Пілот,селище Очаків,"вулиця 3-тя Суворовська, буд. 79, Ізмаїл, 81289",+380 28 618 79 77,madamenko@example.com
Артимишина,Вʼячеслав,Євгенович,Чоловіча,1953-11-17,Стиліст,хутір Горлівка,"провулок Лиманчик 2-й Лінія 11-та, буд. 7 кв. 78, Снятин, 03615",+380 (62) 959-16-03,andrii10@example.org
Сіробаба,Зорян,Васильович,Чоловіча,1992-02-22,Євнух,місто Шахтарськ,"провулок Красносільська, буд. 9 кв. 997, Запоріжжя, 45081",+380 11 976 24 21,ydzhus@example.com
Дубас,Наталія,Вікторівна,Жіноча,1982-01-06,Конструктор,місто Корець,"проспект Деревообробний 2-й, буд. 361, Вуглегірськ, 09498",+380 (78) 520-24-29,feofandanylenko@example.org
Лукаш,Данило,Євгенович,Чоловіча,1969-01-08,Архітектор,селище Середина-Буда,"провулок Керченський 1-й, буд. 3, Бунге , 61782",066 826 66 87,zhaivoronhryhorii@example.com
Франко,Надія,Іванівна,Жіноча,1975-02-05,Літературознавець,місто Золочів,"набережна Керченський 1-й, буд. 9, Семенівка, 25605",+380 46 540-48-80,milena40@example.net
Чекалюк,Пармен,Миколайович,Чоловіча,1939-02-08,Кінокритик,хутір Чоп,"вулиця Люстдорфський, буд. 55, Алушта, 51372",349-08-89,pvasylevych@example.net
Закусило,Володимира,Дмитрівна,Жіноча,1946-11-16,Біолог,село Золотоноша,"шосе 10-та Лінія Марії Демченко, буд. 85 кв. 045, Хотин, 88937",+380 56 751-55-04,tarasbazylevska@example.com
Данько,Марія,Петрівна,Жіноча,1966-09-17,Мистецтвознавець,хутір Ірпінь,"узвіз Профспілкова, буд. 166, Гуляйполе, 60590",009 228-78-44,hordiishvachka@example.com
Юхименко,Марія,Петрівна,Жіноча,1985-08-02,Правник,місто Костопіль,"набережна 8-ма Лінія Дачі Ковалевського, буд. 7 кв. 189, Долина , 53416",660-93-30,overkhola@example.com
Зінкевич,Святослав,Андрійович,Чоловіча,2006-01-02,Бібліограф,селище Вознесенівка,"вулиця Дальній, буд. 1 кв. 614, Бурштин , 70201",838 83 58,andrusenkosviatoslav@example.com
Данькевич,Гаврило,Олександрович,Чоловіча,1996-01-05,Актор,село Олевськ,"набережна Ромашкова, буд. 86 кв. 1, Сокиряни, 74094",+380 09 151-52-35,mariana46@example.com
Савенко,Тетяна,Григорівна,Жіноча,1952-01-30,Державний службовець,село Золотоноша,"шосе Восьмого березня 5-й, буд. 1, Феодосія, 70016",993-01-59,demydmasliak@example.org
Бандурка,Арсен,Павлович,Чоловіча,1995-01-22,Фермер,хутір Нікополь,"парк Данила Крижанівського, буд. 90 кв. 4, Балта, 56476",069 379-87-94,fskorobohatko@example.org
Затула,Маруся,Леонідівна,Жіноча,1942-11-10,Секретар,хутір Сніжне,"площа Локальна, буд. 93, Красноград, 31643",+380 66 445-64-45,spas27@example.net
Смик,Віктор,Богданович,Чоловіча,1941-09-06,Ювелір,місто Сєвєродонецьк,"площа Садова 3-тя, буд. 40 кв. 1, Вознесенськ, 73513",044 466-99-45,viacheslav08@example.com
Сагаль,Богдан,Євгенович,Чоловіча,1984-11-10,Сценарист,селище Татарбунари,"набережна Вапняна, буд. 39, Заставна, 60362",430 61 31,makar34@example.org
Данильчук,Світлана,Василівна,Жіноча,1989-11-18,Євнух,хутір Баштанка,"набережна Кільцева, буд. 40, Полтава, 26084",227 56 09,edyta33@example.net
Щербань,Єлисей,Романович,Чоловіча,1965-01-06,Євнух,село Кам'янка-Бузька,"провулок Головківська, буд. 7 кв. 88, Нововолинськ, 70064",030 374 96 53,martazhuk@example.org
Андріїшина,Федір,Романович,Чоловіча,1982-05-11,Паблік рилейшнз,село Носівка,"провулок Кедровий, буд. 41, Ізюм, 33278",+380 64 910-87-66,myroslav81@example.com
Приймак,Анжела,Дмитрівна,Жіноча,1948-06-23,Ріелтор,селище Перемишляни,"проспект Далекосхідна, буд. 58, Суходільськ, 51085",630 48 50,derehusdaryna@example.net
Дуплій,Василина,Ярославівна,Жіноча,1950-02-09,Агроном,село Броди,"провулок Ползунова 2-й, буд. 079 кв. 224, Глиняни, 78908",+380 55 225-00-86,pylypshtokalo@example.net
Микитюк,Святослав,Ярославович,Чоловіча,1948-07-24,Швачка,селище Гуляйполе,"набережна Гагаріна, буд. 61, Устилуг, 99911",618 34 77,leontiishyian@example.com
Дахно,Одарка,Павлівна,Жіноча,1943-10-06,Головний меркшейдер,село Ямпіль,"набережна Херсонський сквер, буд. 2 кв. 03, Вашківці, 92652",+380 18 421-81-92,eibozhenkotaras@example.com
Валенко,Кирило,Васильович,Чоловіча,1955-07-28,Пекар,хутір Зимогір'я,"вулиця Депутатський, буд. 49, Енергодар, 03857",+380 06 397-29-99,ghres@example.org
Голик,Геннадій,Іванович,Чоловіча,2000-06-23,Складальник,селище Марганець ,"узвіз Іспанська, буд. 771, Чернігів, 42940",+380 86 026-08-46,jkhorishko@example.net
Токар,Іван,Юрійович,Чоловіча,1999-10-11,Кінокритик,хутір Чорноморськ,"парк Заньковецької, буд. 2 кв. 7, Погребище, 94538",006 123 51 25,tkhomyk@example.org
Конопленко,Ігор,Вікторович,Чоловіча,1987-05-06,Кур'єр,село Бурштин ,"вулиця Умова, буд. 402 кв. 91, Дубляни, 44632",850-85-58,oleksandr97@example.org
Гунько,Олександр,Юрійович,Чоловіча,1986-08-04,Історик,місто Яготин,"шосе Тупиковий 2-й, буд. 03 кв. 5, Косів, 62717",081 729-79-29,teodorilienko@example.net
Колісниченко,Єлисей,Вікторович,Чоловіча,1955-05-30,Водій,місто Дубно,"провулок Стражеска Миколи, буд. 79, Сулимівка (Слов'янськ), 88924",099 645 03 22,boleslav95@example.net
Джунь,Святослав,Федорович,Чоловіча,1943-04-04,Палеонтолог,хутір Коломия,"шосе Студентський 5-й, буд. 554, П'ятихатки, 44612",077-54-72,spasiesypenko@example.com
Бабійчук,Богодар,Дмитрович,Чоловіча,1976-10-19,Біолог,місто Бунге ,"площа Шишкіна 1-й, буд. 7 кв. 27, Рені, 43467",+380 41 263-07-45,hermanbezborodko@example.org
Негода,Федір,Романович,Чоловіча,1954-06-07,Музикант,місто Зимогір'я,"провулок Стахановський 4-й, буд. 1, Бахмач, 02363",+380 (84) 465-83-33,mazurliubov@example.org
Яременко,Михайло,Андрійович,Чоловіча,1994-07-30,Піаніст,місто Пустомити,"провулок Нова, буд. 52, Бобровиця, 97109",+380 53 993 13 52,iaronets@example.org
Корсун,Теодор,Леонідович,Чоловіча,1983-01-16,Історик,селище Херсон,"вулиця Панченка, буд. 673, Деражня, 27036",+380 99 586-54-56,frantsudovychenko@example.net
Алексійчук,Ростислав,Сергійович,Чоловіча,1967-03-22,Сантехнік,село Звенигородка,"проспект Леваневського тупик, буд. 40, Іловайськ, 40371",+380 28 917-31-03,eduard07@example.org
Сірко,Федір,Григорович,Чоловіча,1949-03-25,Ріелтор,місто Новоазовськ,"шосе Топольського, буд. 74 кв. 44, Тлумач, 53251",113 15 95,viacheslav88@example.org
Ісаєнко,Пармен,Євгенович,Чоловіча,1950-11-22,Астрофізик,село Горішні Плавні,"парк Макова, буд. 6 кв. 25, Винники, 42574",+380 99 258-13-01,bazylevychvolodymyra@example.com
Дурдинець,Демʼян,Ярославович,Чоловіча,1954-06-11,Дипломат,місто Богуслав,"узвіз Агрономічний, буд. 80 кв. 41, Боярка, 46465",413 18 43,omoskal@example.net
Скопенко,Максим,Дмитрович,Чоловіча,1989-12-17,Піаніст,хутір Дніпро ,"сквер Наявний 4-й, буд. 4 кв. 9, Почаїв, 35773",+380 (63) 577-87-44,andriishynaiakiv@example.org
Товстоліс,Алла,Дмитрівна,Жіноча,1964-05-16,Піаніст,місто Болехів,"вулиця Бессарабська, буд. 702 кв. 96, Умань, 65317",299-44-49,aaron85@example.com
Фартушняк,Остап,Володимирович,Чоловіча,1984-03-03,Живописець,селище Березівка,"узвіз Митна, буд. 623, Борислав, 36936",012 533 43 64,romanchukomelian@example.com
Демиденко,Олесь,Андрійович,Чоловіча,2000-08-21,Епідеміолог,хутір Рожище,"узвіз Тетяни Тесс, буд. 6, Камінь-Каширський, 01496",+380 80 528-98-35,symon19@example.net
Мамчур,Трохим,Павлович,Чоловіча,1950-10-05,Кінолог,місто Бунге ,"вулиця Водний, буд. 66 кв. 382, Гадяч, 70571",+380 96 141-23-85,mykhailyna06@example.org
Корсун,Григорій,Леонідович,Чоловіча,1999-08-19,Філолог,місто Вільногірськ,"сквер Красива, буд. 7, Сарни, 84622",272-07-80,oiaremenko@example.net
Кабаненко,Олесь,Павлович,Чоловіча,1967-01-17,Економіст,місто Олевськ,"проспект Весняна, буд. 7 кв. 097, Мена , 90677",612 28 57,levkokorolenko@example.com
Єщенко,Марія,Леонідівна,Жіноча,1991-06-23,Парфюмер,селище Кам'янка-Дніпровська,"парк Каспійський, буд. 9 кв. 983, Сарни, 55031",+380 63 171 25 34,taleksiuk@example.com
Авраменко,Емілія,Федорівна,Жіноча,1978-03-21,Інженер,селище Підгайці,"набережна Ванний, буд. 409 кв. 0, Житомир, 50791",+380 (77) 640-02-28,vasyl54@example.org
Затула,Одарка,Андріївна,Жіноча,1956-01-26,Доцент,село Павлоград,"вулиця Польова, буд. 207, Золоте, 41281",+380 40 423 67 25,aaron99@example.com
Рябошапка,Владислав,Андрійович,Чоловіча,1998-05-02,Няня,селище Берестечко,"вулиця Ватманський, буд. 304 кв. 47, Федорівка, 94503",073 300-85-03,onesterenko@example.net
Редько,Устим,Володимирович,Чоловіча,1953-05-31,Флорист,селище Тячів,"вулиця 13-та Суворовська, буд. 14, Олевськ, 73755",+380 06 471 54 08,mykhailyna28@example.org
Литвин,Володимира,Євгенівна,Жіноча,1976-04-01,Сантехнік,місто Малин,"сквер Пересипська 9-та, буд. 7, Бахмач, 28876",060 541-99-54,vasyl11@example.org
Дейнека,Нестор,Вікторович,Чоловіча,1985-04-10,Продюсер,місто Охтирка,"проспект Тепличний 2-й, буд. 6, Хмельницький, 57638",527 14 72,panasonyshchenko@example.org
Рябошапка,Аарон,Вікторович,Чоловіча,1956-10-14,Біолог,селище Пустомити,"проспект Лазурний 5-й, буд. 064 кв. 8, Чорнобиль, 38335",+380 57 754-49-77,parmen97@example.com
Забара,Леон,Ярославович,Чоловіча,1983-04-07,Машиніст,село Моршин,"вулиця Італійський, буд. 971, Волноваха, 79270",+380 (37) 170-77-48,babenkoruslan@example.com
Зайченко,Світлана,Олександрівна,Жіноча,1963-09-15,Ботанік,хутір Вінниця,"парк Неплія, буд. 679 кв. 60, Вугледар, 83241",+380 50 884-79-87,kyrylo99@example.org
Франчук,Павло,Петрович,Чоловіча,1950-06-23,Дизайнер,селище Бережани,"вулиця Педагогічна, буд. 4 кв. 14, Радивилів, 55453",050 516 31 19,fchala@example.com
Петрик,Михайлина,Романівна,Жіноча,1942-11-19,Економіст,місто Новий Розділ,"вулиця Проценка, буд. 12 кв. 765, Кобеляки, 07617",013 398 00 74,otelizhenko@example.net
Карась,Пантелеймон,Федорович,Чоловіча,1956-09-01,Єгер,селище Покровськ,"шосе Лінійна, буд. 50, Чугуїв, 27871",+380 35 323-81-36,sviatoslav08@example.net
Бабиченко,Амалія,Миколаївна,Жіноча,1949-06-22,Няня,село Вознесенівка,"проспект Східчастий, буд. 1 кв. 95, Кам'янка-Бузька, 63113",041 469-68-65,avreliifurs@example.org
Закусило,Орина,Леонідівна,Жіноча,1950-05-13,Громадський діяч,селище Моспине,"провулок Дем’янова, буд. 51, Ірпінь, 57973",+380 26 380-65-56,serhiinesterenko@example.com
Терещук,Мирон,Дмитрович,Чоловіча,2002-11-19,Головний меркшейдер,хутір Житомир,"сквер Змієнка Всеволода, буд. 2, Ізмаїл, 04053",033 753 36 51,tsisykroman@example.com
Артимович,Арсен,Григорович,Чоловіча,2002-01-21,Ґрунтознавець,селище Білгород-Дністровський,"парк Наявний 3-й, буд. 7, Кременець, 30013",+380 65 571 19 57,vromanenko@example.com
Дашкевич,Семен,Вікторович,Чоловіча,1966-10-15,Намотувальник,село Івано-Франківськ,"сквер Колекційна, буд. 094 кв. 35, Дрогобич, 01867",+380 46 667 13 89,panas00@example.net
Макаренко,Дмитро,Ярославович,Чоловіча,1998-10-08,Географ,хутір Пологи ,"парк Урожайна, буд. 03, Роздільна, 68879",493 30 43,kanivetsspas@example.org
Андрійчук,Данна,Петрівна,Жіноча,1954-06-25,Археолог,місто Сколе,"парк Польський узвіз, буд. 273 кв. 55, Кременець, 79498",+380 74 183-80-73,rostyslav46@example.net
Вдовенко,Ростислав,Богданович,Чоловіча,1965-12-22,Публіцист,місто Звенигородка,"проспект Лінія 52-га, буд. 48 кв. 88, Берегове, 27132",001 365-41-09,vasyl04@example.com
Пушкар,Клавдія,Романівна,Жіноча,1987-10-17,Диригент,селище Рудки,"шосе Віри Холодної, буд. 0 кв. 23, Буринь, 81115",091 895-24-88,leonidandreiko@example.org
Демʼянюк,Вікторія,Федорівна,Жіноча,1992-02-26,Геолог,село Липовець,"сквер Білоруська, буд. 362, Генічеськ, 70846",+380 26 815-73-26,qvivcharenko@example.org
Тягнибок,Юхим,Євгенович,Чоловіча,2002-10-19,Сценарист,хутір Іллінці,"парк Гаванна, буд. 73, Зоринськ, 09020",419-49-82,svyrydenkoleontii@example.com
Сірко,Ірена,Сергіївна,Жіноча,2007-03-31,Кінокритик,село Чугуїв,"площа Аеропортівський 4-й, буд. 99, Охтирка, 26504",+380 23 115-66-97,lizagereta@example.org
Яремчук,Марта,Павлівна,Жіноча,1944-08-01,Електротехнік,хутір Чоп,"шосе Панаса Мирного, буд. 8, Комарно, 16421",727 67 32,stusmaksym@example.com
Охримович,Аніта,Сергіївна,Жіноча,1970-02-23,Історик,село Золотоноша,"узвіз Маршрутна, буд. 43, Заставна, 79243",011 566 99 39,iereskomykhailo@example.net
Габелко,Лукʼян,Віталійович,Чоловіча,1944-08-13,Водій,селище Коростень,"площа Французький, буд. 14 кв. 45, Вараш, 42797",022 544-07-69,nruban@example.com
Даценко,Максим,Віталійович,Чоловіча,1947-04-24,Астроном,хутір Луганськ,"парк Станційна 3-тя, буд. 326 кв. 169, Борислав, 81847",+380 25 742-88-41,frantszinchuk@example.net
Шинкаренко,Онисим,Сергійович,Чоловіча,1979-09-17,Вчитель,хутір Вовчанськ,"парк 7-ма Лінія 6-й ст. Люстдорфської дороги, буд. 9, Кам'янка (Черкаська область), 87079",030-20-71,zlatoslava54@example.net
Юхименко,Єлисавета,Вікторівна,Жіноча,1966-03-09,Пекар,селище Гірське,"парк Посівна, буд. 7 кв. 323, Краматорськ, 23239",+380 (26) 949-75-17,vvakhnii@example.org
Шеремет,Данило,Андрійович,Чоловіча,1958-09-15,Піаніст,селище Бершадь,"парк Бокаріуса Миколи, буд. 37 кв. 75, Козятин, 90447",+380 24 605 15 71,eromanenko@example.org
